Date,Open,High,Low,Close,Volume,Adj Close
2011-07-12,387.10,394.70,385.25,387.00,2460300,386.03
2011-07-11,398.05,399.90,389.75,390.50,1702700,389.52
2011-07-08,399.85,409.90,395.65,400.00,5606300,398.99
2011-07-07,383.55,398.90,383.55,397.70,8086700,396.70
2011-07-06,380.55,388.80,380.55,383.15,3829300,382.18
2011-07-05,386.00,386.40,378.25,382.90,2338100,381.94
2011-07-04,385.50,388.30,383.00,384.15,3974700,383.18
2011-07-01,394.90,396.00,382.35,383.75,5226700,382.78
2011-06-30,402.00,403.80,389.75,393.40,11829100,392.41
2011-06-29,401.55,403.95,399.45,401.80,3842300,400.79
2011-06-28,396.80,404.95,396.25,400.35,9660700,399.34
2011-06-27,389.00,398.90,388.00,396.55,4469900,395.55
2011-06-24,383.55,394.25,383.55,391.10,4931100,390.11
2011-06-23,380.15,387.10,379.30,382.90,2949900,381.94
2011-06-22,393.00,395.00,377.60,382.00,7698100,381.04
2011-06-21,390.05,398.40,388.15,391.95,5010200,390.96
2011-06-20,380.00,391.95,375.55,389.70,7974400,388.72
2011-06-17,369.20,381.95,369.20,379.20,4624100,378.24
2011-06-16,375.00,379.80,367.65,371.70,5402800,370.76
2011-06-15,377.95,379.40,375.10,377.55,2319300,376.60
2011-06-14,377.95,380.50,377.00,377.85,2879400,376.90
2011-06-13,375.25,379.55,373.90,377.05,2569000,376.10
2011-06-10,377.50,377.90,372.25,374.80,1782300,373.86
2011-06-09,377.10,379.75,375.60,376.65,2111600,375.70
2011-06-08,378.05,379.30,371.00,377.30,2615100,376.35
2011-06-07,379.00,381.85,377.00,378.45,1980900,377.50
2011-06-06,380.35,382.60,375.50,380.05,2540400,379.09
2011-06-03,382.00,384.60,377.15,379.30,2443800,378.34
2011-06-02,379.00,385.90,378.50,381.05,2037000,380.09
2011-06-01,375.25,384.65,375.00,381.75,4153400,380.79
2011-05-31,371.80,375.50,369.25,374.00,2897600,373.06
2011-05-30,373.00,373.90,367.00,371.50,3548100,370.56
2011-05-27,369.20,374.25,369.00,372.80,2236500,371.86
2011-05-26,367.20,373.70,364.80,369.40,5203100,368.47
2011-05-25,367.65,372.50,363.55,369.20,2078700,368.27
2011-05-24,370.00,373.75,367.50,370.40,3170100,369.47
2011-05-23,370.10,375.40,366.15,369.40,3002400,368.47
2011-05-20,366.60,378.40,365.30,374.00,4264700,373.06
2011-05-19,372.95,373.85,364.50,366.60,1637900,365.68
2011-05-18,371.20,375.00,369.00,371.60,2007600,370.66
2011-05-17,370.90,373.45,368.50,370.40,1789000,369.47
2011-05-16,368.00,374.95,364.70,371.25,2274500,370.31
2011-05-13,363.10,374.20,363.10,369.70,3226600,368.77
2011-05-12,362.85,366.60,362.85,365.70,2456500,364.78
2011-05-11,366.00,367.90,363.55,365.80,2911400,364.88
2011-05-10,366.90,367.55,363.00,366.30,2524600,365.38
2011-05-09,352.80,366.85,352.00,366.20,4118600,365.28
2011-05-06,357.00,361.55,345.70,349.95,6620100,349.07
2011-05-05,359.85,369.45,352.20,356.65,8953700,355.75
2011-05-04,374.45,376.40,365.10,369.80,2851300,368.87
2011-05-03,380.70,383.60,372.65,373.70,3354400,372.76
2011-05-02,379.00,384.95,379.00,382.95,2313800,381.99
2011-04-29,386.80,389.00,376.20,379.90,3131500,378.94
2011-04-28,385.00,389.85,382.25,386.55,4478900,385.58
2011-04-27,384.00,388.20,381.70,382.55,5278100,381.59
2011-04-26,375.00,382.85,373.60,382.00,5414000,381.04
2011-04-25,374.45,379.00,372.80,375.15,2149000,374.21
2011-04-21,381.00,384.50,371.10,376.20,5415700,375.25
2011-04-20,377.30,386.50,375.40,379.60,7479100,378.64
2011-04-19,368.00,378.00,365.50,377.30,4519200,376.35
2011-04-18,372.50,377.05,366.25,368.00,3525700,367.07
2011-04-15,369.40,376.00,367.45,371.00,5974900,370.07
2011-04-13,356.30,375.00,353.00,373.95,7893700,373.01
2011-04-11,361.90,366.30,359.00,359.55,3645300,358.64
2011-04-08,359.30,428.40,357.10,361.90,6137300,360.99
2011-04-07,353.30,358.25,345.70,357.65,6840300,356.75
2011-04-06,360.30,363.15,350.25,354.90,4366600,354.01
2011-04-05,361.50,363.30,357.50,359.10,1897900,358.20
2011-04-04,354.50,362.00,353.00,359.00,2134300,358.10
2011-04-01,354.60,360.30,353.00,355.00,4454700,354.11
2011-03-31,357.50,359.50,351.40,357.85,8404300,356.95
2011-03-30,360.00,361.65,354.45,360.00,5074700,359.09
2011-03-29,347.00,364.95,347.00,357.75,8519400,356.85
2011-03-28,341.40,350.00,334.50,347.75,7237100,346.87
